id,title,imdbID,year,rtID,rtAllCriticsRating,rtAllCriticsNumReviews,rtAllCriticsNumFresh,rtAllCriticsNumRotten,rtAllCriticsScore,rtTopCriticsRating,rtTopCriticsNumReviews,rtTopCriticsNumFresh,rtTopCriticsNumRotten,rtTopCriticsScore,rtAudienceRating,rtAudienceNumRatings,rtAudienceScore,US Gross,Worldwide Gross,US DVD Sales,Production Budget,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,IMDB Rating,IMDB Votes
61,Eye for an Eye,116260,1996,1101753-eye,0,0,0,0,0,0,0,0,0,0,0,0,0,26792700,26792700,,20000000.0,R,101.0,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,John Schlesinger,5.7,4837.0
69,Friday,113118,1995,nothing_funny,0,0,0,0,0,0,0,0,0,0,0,0,0,27467564,27936778,,3500000.0,R,,New Line,Original Screenplay,Comedy,Contemporary Fiction,F. Gary Gray,7.0,21623.0
70,From Dusk Till Dawn,116367,1996,from_dusk_till_dawn,6,43,27,16,62,4.9,10,5,5,50,3.4,36073,75,25728961,25728961,,20000000.0,R,107.0,Miramax/Dimension,Original Screenplay,Horror,Fantasy,Robert Rodriguez,7.1,80234.0
71,Fair Game,113010,1995,1065868-fair_game,2.4,24,3,21,12,3.1,8,1,7,12,2.1,1761,16,11497497,11497497,,50000000.0,R,,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,,6.6,194.0
79,The Juror,116731,1996,juror,4.4,19,3,16,15,4.3,6,1,5,16,2.8,2266,39,22730924,22730924,,44000000.0,R,120.0,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,5.3,6482.0
81,Things to Do in Denver When You're Dead,114660,1995,things_to_do_in_denver_when_youre_dead,4.9,27,9,18,33,5.5,5,1,4,20,3.5,3197,72,529766,529766,,15000000.0,R,,Miramax,Original Screenplay,Black Comedy,Contemporary Fiction,,6.6,12789.0
86,White Squall,118158,1996,white_squall,5.8,30,19,11,63,6.3,10,7,3,70,3.2,3184,62,10229300,10229300,,38000000.0,PG-13,,Walt Disney Pictures,Based on Real Life Events,Adventure,Dramatization,Ridley Scott,6.4,8385.0
92,Mary Reilly,117002,1996,mary_reilly,4.4,41,11,30,26,4.6,9,2,7,22,2.8,3733,41,5707094,6370115,,47000000.0,R,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Stephen Frears,5.5,6864.0
93,Vampire in Brooklyn,114825,1995,vampire_in_brooklyn,3.6,28,3,25,10,3.1,9,0,9,0,2.4,6122,37,19637147,19637147,,14000000.0,R,,Paramount Pictures,Original Screenplay,Horror,Fantasy,Wes Craven,4.3,8200.0
95,Broken Arrow,115759,1996,1069241-broken_arrow,5.8,29,16,13,55,6.1,6,3,3,50,2.9,12489,51,70645997,148345997,,65000000.0,R,108.0,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,John Woo,5.8,33584.0
100,City Hall,115907,1996,city_hall,6.1,22,12,10,54,7,6,3,3,50,3,2730,42,20278055,20278055,,40000000.0,R,111.0,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Harold Becker,6.1,9908.0
101,Bottle Rocket,115734,1996,bottle_rocket,6.6,42,33,9,78,6.1,9,5,4,55,3.7,16217,80,407488,407488,,5000000.0,R,,Sony Pictures,Based on Short Film,Adventure,,Wes Anderson,7.2,21980.0
103,Unforgettable,118040,1996,unforgettable,4.4,26,6,20,23,0,4,0,4,0,3,358,36,2483790,2483790,,18000000.0,R,,MGM,Original Screenplay,Thriller/Suspense,Science Fiction,John Dahl,5.7,2284.0
104,Happy Gilmore,116483,1996,happy_gilmore,5.5,50,29,21,58,5.1,11,4,7,36,3.7,114875,83,38623460,38623460,,10000000.0,PG-13,92.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,6.9,54111.0
105,The Bridges of Madison County,112579,1995,bridges_of_madison_county,7.2,40,36,4,90,7.9,9,9,0,100,3.6,11573,83,71516617,175516617,,22000000.0,PG-13,,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,7.2,21923.0
110,Braveheart,112573,1995,1065684-braveheart,7,48,37,11,77,6.7,16,12,4,75,3.8,204275,83,75545647,209000000,,72000000.0,R,,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Mel Gibson,8.4,240642.0
111,Taxi Driver,75314,1976,taxi_driver,8.7,50,49,1,98,7.7,9,8,1,88,4.1,58145,93,21100000,21100000,,1000000.0,,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Martin Scorsese,8.6,155774.0
122,Boomerang,103859,1992,1039796-boomerang,4.8,27,10,17,37,5.4,8,4,4,50,2.8,4751,55,70052444,131052444,,42000000.0,,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,5.9,202.0
125,Flirting with Disaster,116324,1996,flirting_with_disaster,7.4,42,36,6,85,8.5,6,6,0,100,3.3,2127,65,14853474,14853474,,7000000.0,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,David O. Russell,6.7,8474.0
130,Angela's Ashes,145653,1999,angelas_ashes,5.7,84,44,40,52,5.3,26,10,16,38,3.6,4588,79,13038660,13038660,,25000000.0,R,,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Alan Parker,7.0,10185.0
132,The Curse of the Jade Scorpion,256524,2001,curse_of_the_jade_scorpion,5.2,122,55,67,45,5,36,14,22,38,3.1,4108,52,7496522,18496522,,26000000.0,PG-13,,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Woody Allen,6.7,15897.0
144,The Brothers McMullen,112585,1995,brothers_mcmullen,7.1,34,31,3,91,7.8,6,6,0,100,3.2,1225,55,10426506,10426506,,25000.0,R,,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Edward Burns,6.4,4365.0
145,Bad Boys,112442,1995,1062483-bad_boys,4.8,41,16,25,39,3.7,9,1,8,11,3.5,67658,79,65647413,141247413,,23000000.0,R,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,6.6,53929.0
150,Apollo 13,112384,1995,apollo_13,8,51,49,2,96,7.9,11,10,1,90,3.6,30565,78,172070496,334100000,,65000000.0,PG,,Universal,Based on Book/Short Story,Drama,Dramatization,Ron Howard,7.5,87605.0
151,Rob Roy,114287,1995,1061000-rob_roy,6.3,42,30,12,71,5.8,10,5,5,50,3.3,5253,73,31390587,31390587,,28000000.0,R,,MGM,Based on Real Life Events,Drama,Dramatization,Michael Caton-Jones,6.8,15630.0
152,Basic Instinct 2,430912,2006,basic_instinct_2,3.1,149,10,139,6,3.2,35,1,34,2,2.5,28208,33,5946136,35417162,6188980.0,70000000.0,R,,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Michael Caton-Jones,3.9,16784.0
153,Batman Forever,112462,1995,batman_forever,5.2,54,23,31,42,5.9,14,10,4,71,2.9,47498,42,184031112,336529144,,100000000.0,PG-13,,Warner Bros.,Original Screenplay,Action,Super Hero,Joel Schumacher,5.4,76218.0
158,Casper,112642,1995,casper,4.7,34,14,20,41,4.5,10,3,7,30,3,20672,54,100328194,282300000,,55000000.0,PG,,Universal,Based on TV,Comedy,Fantasy,Brad Silberling,5.7,26121.0
160,Congo,112715,1995,congo,3.6,42,9,33,21,3.2,12,1,11,8,2.6,7008,34,81022333,152022333,,50000000.0,PG-13,,Paramount Pictures,Based on Book/Short Story,Adventure,Contemporary Fiction,Frank Marshall,4.6,17954.0
161,Crimson Tide,112740,1995,crimson_tide,7.4,44,38,6,86,8,10,9,1,90,3.5,11550,77,91387195,159387195,,55000000.0,R,,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,7.2,33354.0
163,Desperado,112851,1995,desperado,6.3,38,23,15,60,5.4,10,3,7,30,3.5,23821,79,25532388,25532388,,7000000.0,R,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Robert Rodriguez,7.0,51515.0
165,Die Hard: With a Vengeance,112864,1995,die_hard_with_a_vengeance,5.7,42,20,22,47,5.8,10,5,5,50,3.6,61394,83,100012499,364480746,,90000000.0,R,,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,John McTiernan,7.4,87437.0
168,First Knight,113071,1995,first_knight,5.2,42,19,23,45,5.5,14,7,7,50,3,13290,59,37361412,127361412,,75000000.0,PG-13,,Sony Pictures,Traditional/Legend/Fairytale,Drama,Historical Fiction,Jerry Zucker,5.6,20928.0
173,Judge Dredd,113492,1995,judge_dredd,3.6,47,7,40,14,3.7,10,0,10,0,2.5,10571,35,34687912,113487912,,85000000.0,R,,Walt Disney Pictures,Based on Comic/Graphic Novel,Action,Science Fiction,,4.9,30736.0
175,Kids,113540,1995,kids,5,52,26,26,50,6.5,7,4,3,57,3.5,11282,78,7412216,20412216,,1500000.0,Not Rated,90.0,Shining Excalibur,Original Screenplay,Drama,Contemporary Fiction,,6.7,26122.0
180,Mallrats,113749,1995,mallrats,5.4,40,21,19,52,5,9,2,7,22,3.6,40221,83,2108367,2108367,,6100000.0,R,,Gramercy,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,7.1,52807.0
185,The Net,113957,1995,net,5.1,33,11,22,33,6.9,5,3,2,60,2.8,10933,50,50621733,110521733,,22000000.0,PG-13,,Sony Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,,5.6,24363.0
191,The Scarlet Letter,114345,1995,1066120-scarlet_letter,3,33,5,28,15,3.6,11,1,10,9,2.9,3493,48,10359006,10359006,,50000000.0,R,,Walt Disney Pictures,Based on Book/Short Story,Drama,Historical Fiction,Roland Joffe,4.6,6155.0
193,Showgirls,114436,1995,showgirls,2.9,41,5,36,12,3.4,10,0,10,0,2.3,7443,35,20254932,20254932,,40000000.0,NC-17,,MGM,Original Screenplay,Drama,Contemporary Fiction,Paul Verhoeven,4.1,27004.0
196,Species,114508,1995,species,4.9,31,12,19,38,5.1,5,1,4,20,2.7,6716,37,60054449,113354449,,35000000.0,R,,MGM,Original Screenplay,Action,Science Fiction,Roger Donaldson,5.6,21917.0
204,Under Siege 2: Dark Territory,114781,1995,under_siege_2_dark_territory,4.5,29,10,19,34,0,3,2,1,66,2.6,5213,47,50024083,104324083,,60000000.0,R,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,,5.1,15218.0
208,Waterworld,114898,1995,waterworld,5.1,48,20,28,41,6.4,9,7,2,77,2.6,18023,46,88246220,264246220,,175000000.0,PG-13,,Universal,Original Screenplay,Action,Science Fiction,Kevin Reynolds,5.7,54126.0
215,Before Sunrise,112471,1995,before_sunrise,8.2,34,34,0,100,9.3,5,5,0,100,4.1,20616,92,5274005,5274005,,2500000.0,R,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Richard Linklater,8.0,39705.0
224,Don Juan DeMarco,112883,1994,don-juan-demarco,5.8,22,16,6,72,0,2,1,1,50,3.3,14169,70,22032635,22032635,,25000000.0,PG-13,,New Line,Original Screenplay,Drama,Contemporary Fiction,,6.6,20386.0
231,Dumb & Dumber,109686,1994,dumb_and_dumber,5.8,45,28,17,62,4.8,10,4,6,40,3.3,95871,79,127175374,246400000,,16000000.0,PG-13,,New Line,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,7.2,88093.0
233,Exotica,109759,1994,exotica,8.3,27,26,1,96,0,3,3,0,100,3.7,1837,81,5046118,5046118,,1500000.0,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,Atom Egoyan,7.1,8402.0
235,Ed Wood,109707,1994,ed_wood,7.9,57,52,5,91,7.2,12,9,3,75,3.7,28216,83,5828466,5828466,,18000000.0,R,,Walt Disney Pictures,Based on Book/Short Story,Comedy,Dramatization,Tim Burton,8.1,74171.0
243,Flash Gordon,80745,1980,1007517-flash_gordon,6.3,32,26,6,81,0,3,2,1,66,3.1,6492,64,27107960,27107960,,35000000.0,,,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,,6.2,14894.0
246,Hoop Dreams,110057,1994,hoop_dreams,8.5,44,43,1,97,8.1,12,12,0,100,4.1,3243,92,7768371,11768371,,700000.0,PG-13,,Fine Line,Based on Real Life Events,Documentary,Factual,,8.0,9492.0
251,The Hunted,269347,2003,1120843-hunted,4.7,143,44,99,30,4.5,34,10,24,29,3,5362,51,34234008,45016494,,55000000.0,R,94.0,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,William Friedkin,5.8,18941.0
253,Interview with the Vampire: The Vampire Chronicles,110148,1994,interview_with_the_vampire,5.8,45,26,19,57,4.6,10,4,6,40,3.7,77706,85,105264608,223564608,,50000000.0,R,,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,Neil Jordan,7.4,78953.0
254,Jefferson in Paris,113463,1995,jefferson_in_paris,4.9,14,5,9,35,0,3,1,2,33,2.8,404,27,2461628,2461628,,14000000.0,PG-13,,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,James Ivory,5.6,1464.0
255,The Jerky Boys,110189,1995,jerky_boys_the_the_movie,1.6,10,1,9,10,0,0,0,0,0,0,0,0,7555256,7555256,,4000000.0,R,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,3.9,1481.0
259,Kiss of Death,113552,1995,1060720-kiss_of_death,6.4,36,24,12,66,7.2,12,9,3,75,2.9,2125,39,14942422,14942422,,40000000.0,R,,20th Century Fox,Remake,Drama,Contemporary Fiction,Barbet Schroeder,7.6,2374.0
261,Little Women,110367,1994,1190049-little_women,0,0,0,0,0,0,0,0,0,0,0,0,0,50003303,50003303,,15000000.0,PG,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,,7.1,16514.0
266,Legends of the Fall,110322,1994,chris-smither-one-more-night2007,0,0,0,0,0,0,0,0,0,0,0,0,0,66502573,66502573,,30000000.0,R,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Edward Zwick,7.1,39815.0
273,Frankenstein,21884,1931,1007818-frankenstein,8.5,38,38,0,100,7.8,5,5,0,100,3.6,7211,81,22006296,112006296,,45000000.0,R,,Sony Pictures,Based on Book/Short Story,Horror,,Kenneth Branagh,6.2,19913.0
274,Man of the House,331933,2005,man_of_the_house,3.3,60,5,55,8,3.9,16,4,12,25,3.1,10877,59,19699706,22099706,,50000000.0,PG-13,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Stephen Herek,4.2,3432.0
292,Outbreak,114069,1995,outbreak,5.6,41,24,17,58,5.1,10,4,6,40,3.1,10732,55,67823573,67823573,,50000000.0,R,,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Wolfgang Petersen,6.4,33192.0
294,The Perez Family,114113,1995,perez_family,6.3,15,10,5,66,5.9,5,2,3,40,3.2,500,50,2794056,2794056,,11000000.0,R,,Goldwyn Entertainment,Based on Book/Short Story,Comedy,Historical Fiction,Mira Nair,6.0,1177.0
296,Pulp Fiction,110912,1994,pulp_fiction,8.9,50,47,3,94,8.4,14,13,1,92,4.2,249269,95,107928762,212928762,,8000000.0,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,Quentin Tarantino,8.9,417703.0
303,The Quick and the Dead,114214,1995,1059629-quick_and_the_dead,5.9,39,22,17,56,4.2,8,1,7,12,3.1,12178,56,18552460,18552460,,32000000.0,R,,Sony Pictures,Original Screenplay,Western,Historical Fiction,Sam Raimi,6.3,27352.0
315,The Specialist,111255,1994,1056079-specialist,3.1,24,1,23,4,3.8,5,0,5,0,2.5,5147,34,57362581,57362581,,45000000.0,R,,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,,4.9,18749.0
316,Stargate,111282,1994,stargate,5.2,37,17,20,45,0,4,1,3,25,3.3,23611,75,71565669,196565669,,55000000.0,PG-13,,MGM,Original Screenplay,Action,Science Fiction,Roland Emmerich,6.7,47174.0
318,The Shawshank Redemption,111161,1994,shawshank_redemption,8,57,50,7,87,7.9,11,10,1,90,4.4,168839,98,28241469,28241469,,25000000.0,R,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Frank Darabont,9.2,519541.0
327,Tank Girl,114614,1995,tank_girl,4.9,33,14,19,42,5.3,9,4,5,44,2.8,7013,61,4064333,4064333,,25000000.0,R,,MGM,Based on Comic/Graphic Novel,Action,Science Fiction,,4.7,10772.0
328,Tales from the Crypt: Demon Knight,114608,1995,tales_from_the_crypt_presents_demon_knight,4,23,7,16,30,3.4,7,1,6,14,3.2,4989,63,21089146,21089146,,12000000.0,R,,Universal,Original Screenplay,Horror,Fantasy,,6.4,6430.0
329,Star Trek: Generations,111280,1994,star_trek_generations,5.5,44,20,24,45,6.4,9,6,3,66,3.3,15342,62,75671262,120000000,,38000000.0,PG,,Paramount Pictures,Based on TV,Adventure,Science Fiction,,6.5,26465.0
330,Tales from the Hood,114609,1995,tales_from_the_hood,4.3,15,5,10,33,0,2,1,1,50,3.1,2119,58,11784569,11784569,,6000000.0,R,,Savoy,Original Screenplay,Horror,Contemporary Fiction,,5.8,1860.0
337,What's Eating Gilbert Grape,108550,1993,whats_eating_gilbert_grape,7.3,42,37,5,88,5.8,9,6,3,66,3.7,57512,86,9170214,9170214,,11000000.0,,,Paramount Pictures,,Drama,,Lasse Hallstrom,7.8,51219.0
338,Virtuosity,114857,1995,virtuosity,4.3,29,10,19,34,4,8,2,6,25,2.8,4167,37,23998226,23998226,,30000000.0,R,,Paramount Pictures,Original Screenplay,Action,Science Fiction,,5.3,11079.0
340,War,499556,2007,the-secret-war,0,0,0,0,0,0,0,0,0,0,0,0,0,22466994,40666994,27148376.0,25000000.0,R,99.0,Lionsgate,Original Screenplay,Action,Contemporary Fiction,,6.2,28771.0
344,Ace Ventura: Pet Detective,109040,1994,ace_ventura_pet_detective,4.6,37,18,19,48,0,2,0,2,0,3.1,163811,57,72217396,107217396,,12000000.0,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Shadyac,6.6,63543.0
349,Clear and Present Danger,109444,1994,clear_and_present_danger,6.8,37,29,8,78,7.1,9,7,2,77,3.3,11095,69,122012656,207500000,,62000000.0,PG-13,,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,6.8,29612.0
350,The Client,109446,1994,client,6.1,35,28,7,80,6.2,7,5,2,71,3.3,7408,67,92115211,117615211,,45000000.0,PG-13,,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Joel Schumacher,6.5,19299.0
352,Crooklyn,109504,1994,crooklyn,6.6,24,18,6,75,6.8,7,6,1,85,4.1,3115,87,13024170,13024170,,14000000.0,PG-13,,Universal,Original Screenplay,Comedy,Historical Fiction,Spike Lee,6.5,3137.0
355,The Flintstones,109813,1994,1051663-flintstones,3.7,40,8,32,20,4.5,7,2,5,28,2.5,11823,35,130531208,358500000,,45000000.0,PG,,Universal,Based on TV,Comedy,Historical Fiction,Brian Levant,4.6,26521.0
356,Forrest Gump,109830,1994,forrest_gump,6.9,53,37,16,69,7,13,9,4,69,4.1,205253,93,329694499,679400525,,55000000.0,PG-13,,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Robert Zemeckis,8.6,300455.0
357,Four Weddings and a Funeral,109831,1994,four_weddings_and_a_funeral,7.5,49,47,2,95,7.3,9,8,1,88,3.2,21524,68,52700832,242895809,,4500000.0,R,,Gramercy,Original Screenplay,Romantic Comedy,Contemporary Fiction,Mike Newell,7.1,39003.0
362,The Jungle Book,61852,1967,1031385-jungle_book,7.3,27,24,3,88,0,2,1,1,50,3.5,35715,70,44342956,44342956,,27000000.0,PG,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Stephen Sommers,5.8,5564.0
364,The Lion King,110357,1994,lion_king,8,61,56,5,91,7.8,13,13,0,100,3.9,127550,89,328539505,783839505,,79300000.0,G,,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Rob Minkoff,8.2,136503.0
